,XBB.TO,XCB.TO,XEF.TO,XEM.TO,XHY.TO,XIG.TO,XIU.TO,XSB.TO,XUS.TO
2016-09-26,25.037134170532227,16.172475814819336,21.178691864013672,23.0155029296875,12.046466827392578,17.839984893798828,16.424652099609375,22.72555160522461,15.664948463439941
2016-09-27,25.052534103393555,16.194656372070312,21.218400955200195,23.23152732849121,12.076930046081543,17.839984893798828,16.36325454711914,22.733564376831055,15.704602241516113
2016-09-28,25.044837951660156,16.187267303466797,21.194578170776367,23.314620971679688,12.095210075378418,17.89179801940918,16.57048225402832,22.72555160522461,15.678165435791016
2016-09-29,25.083332061767578,16.194656372070312,21.043699264526367,22.99057388305664,12.101304054260254,17.876996994018555,16.593507766723633,22.733564376831055,15.585625648498535
2016-09-30,24.99863052368164,16.16507339477539,21.067522048950195,23.040428161621094,12.180514335632324,17.81777572631836,16.578155517578125,22.717567443847656,15.660541534423828
2016-10-03,25.006332397460938,16.150272369384766,21.051637649536133,23.156749725341797,12.174427032470703,17.82517433166504,16.532108306884766,22.709564208984375,15.60766315460205
2016-10-04,24.906217575073242,16.113285064697266,21.08340072631836,23.02381134033203,12.107400894165039,17.736345291137695,16.378604888916016,22.693571090698242,15.629692077636719
2016-10-05,24.844602584838867,16.07628059387207,21.25810432434082,23.314620971679688,12.174427032470703,17.699344635009766,16.501405715942383,22.67757225036621,15.686975479125977
2016-10-06,24.782991409301758,16.068899154663086,21.146930694580078,23.422632217407227,12.180514335632324,17.706741333007812,16.478384017944336,22.669588088989258,15.73544979095459
2016-10-07,24.759891510009766,16.05409049987793,21.16281509399414,23.455873489379883,12.186617851257324,17.75115394592285,16.44000816345215,22.669588088989258,15.766294479370117
2016-10-11,24.713672637939453,16.002304077148438,20.797523498535156,23.08197021484375,12.13786506652832,17.706741333007812,16.44000816345215,22.65358543395996,15.598852157592773
2016-10-12,24.698280334472656,16.002304077148438,20.861055374145508,23.065353393554688,12.162236213684082,17.71413230895996,16.501405715942383,22.637598037719727,15.638504981994629
2016-10-13,24.74448585510254,16.024492263793945,20.710176467895508,22.799470901489258,12.174427032470703,17.773365020751953,16.532108306884766,22.64559555053711,15.55037784576416
2016-10-14,24.65206527709961,15.980113983154297,20.614885330200195,22.708072662353516,12.192702293395996,17.691932678222656,16.46302604675293,22.637598037719727,15.471057891845703
2016-10-17,24.690574645996094,16.017105102539062,20.543415069580078,22.641603469848633,12.168326377868652,17.72895622253418,16.46302604675293,22.66158676147461,15.391746520996094
2016-10-18,24.72138023376465,16.024492263793945,20.765758514404297,23.048736572265625,12.192702293395996,17.76595687866211,16.647232055664062,22.66158676147461,15.48427963256836
2016-10-19,24.72907829284668,16.024492263793945,20.82929229736328,23.19829559326172,12.22926139831543,17.788169860839844,16.747007369995117,22.693571090698242,15.519532203674316
2016-10-20,24.775293350219727,16.05409049987793,21.00399398803711,23.289691925048828,12.198796272277832,17.81777572631836,16.747007369995117,22.685579299926758,15.60766315460205
2016-10-21,24.867713928222656,16.113285064697266,21.115161895751953,23.47248649597168,12.241450309753418,17.795570373535156,16.854459762573242,22.709564208984375,15.73104476928711
2016-10-24,24.829885482788086,16.08732795715332,21.186634063720703,23.68021583557129,12.235940933227539,17.748821258544922,16.869813919067383,22.7199764251709,15.885268211364746
2016-10-25,24.845317840576172,16.094741821289062,21.10722541809082,23.630353927612305,12.248181343078613,17.756242752075195,16.80841064453125,22.7199764251709,15.775104522705078
2016-10-26,24.806734085083008,16.07990264892578,21.067522048950195,23.41432762145996,12.199216842651367,17.667198181152344,16.793062210083008,22.711971282958984,15.788324356079102
